stop_id,bus_id,name,pickup_time,address,lat,lng
150928,25113,4813 SHILOH RD,Invalid,4813 SHILOH RD, 30040,34.140385,-84.20543399999997
151131,25113,SHILOH RD & SHILOH VALLEY RD,Invalid,SHILOH RD & Shiloh Valley Rd, 30040,19.09740313910023,-70.30280280858278
151340,25113,SHILOH RD & SHILOH DR,Invalid,SHILOH RD & SHILOH DR, 30040,40.96821915181734,-82.60239893369175
166044,25113,MARS HILL DR & LOCHMAR TRL,Invalid,MARS HILL RD & Lochmar Trl, 30040,35.82623848641794,-82.54766933619976
169978,25113,4946 SHILOH RD,Invalid,4946 SHILOH RD, 30040,34.137828,-84.20772199999999
170130,25113,5098 UNION HILL RD,Invalid,5098 UNION HILL RD, 30040,34.13638,-84.21088199999997
173494,25113,5236 UNION HILL RD,Invalid,5236 UNION HILL RD, 30040,34.136551,-84.21401500000002
176693,25113,SUNSET TRL & CRIPPLE CREEK CT,Invalid,SUNSET TRL & CRIPPLE CREEK CT, 30040,38.74665554707432,-105.1783150434494
176694,25113,SHILOH RD & POOLE RD,Invalid,SHILOH RD & POOLE RD, 30040,19.09740313910023,-70.30280280858278
147400,25114,RONALD REAGAN BLVD & SUMMIT CROSSING WAY,Invalid,RONALD REAGAN BLVD & SUMMIT CROSSING WAY, 30041,41.14579039504721,-81.5333604812622
149668,25114,RONALD REAGAN BLVD & IVY SUMMIT CT,Invalid,RONALD REAGAN BLVD & IVY SUMMIT CT, 30041,41.65002021118698,-72.7342165634036
150120,25114,FOWLER RD & FOWLER SPRINGS CT,Invalid,FOWLER RD & FOWLER SPRINGS CT, 30004,19.09740313910023,-70.30280280858278
150464,25114,RONALD REAGAN BLVD & BRYTON TRACE DR,Invalid,RONALD REAGAN BLVD & Bryton Trace Dr, 30041,19.09740313910023,-70.30280280858278
143492,25115,6302 VALLEY STREAM DR,Invalid,6302 VALLEY STREAM DR, 30040,34.173407,-84.25041599999997
149116,25115,CALAMAR DR & BLACK OAK DR,Invalid,CALAMAR DR & BLACK OAK DR, 30040,35.83828717338595,-90.36783345043659
149117,25115,CALAMAR DR & WHITE OAK DR,Invalid,CALAMAR DR & WHITE OAK DR, 30040,32.52715835487282,-94.8609684035182
150329,25115,WESTFALL PKWY & BROOKLEIGH OVLK,Invalid,Westfall Pkwy & Brookleigh Ovlk, 30040,34.171764781351435,-84.24091265750758
