151734	25110	DENMARK HS	2525 MANOR VW	7:23:00 AM	2525 MANOR VW, 30041
151735	25110	DENMARK HS	2040 MANOR VW	7:25:00 AM	2040 MANOR VW, 30041
164186	25110	DENMARK HS	2126 OLD ALPHARETTA RD	7:26:00 AM	2126 OLD ALPHARETTA RD, 30041
173074	25110	DENMARK HS	2325 OLD ALPHARETTA RD	7:20:00 AM	2325 OLD ALPHARETTA RD, 30041
174137	25110	DENMARK HS	998 OLD ALPHARETTA RD	7:33:00 AM	998 OLD ALPHARETTA RD, 30005
175997	25110	DENMARK HS	2485 CANEY RD	7:19:00 AM	2485 CANEY RD, 30041
139316	25111	DENMARK HS	PEACHTREE PKWY & SENTINEL CHASE WAY	7:18:00 AM	PEACHTREE PKWY & SENTINEL CHASE WAY, 30041
147748	25111	DENMARK HS	SADDLEBROOK GLEN DR & GENTRY WALK CT	7:33:00 AM	SADDLEBROOK GLEN DR & GENTRY WALK CT, 30041
149252	25111	DENMARK HS	CHRISTOPHER ROBIN RD & BARRINGTON TRL	7:25:00 AM	CHRISTOPHER ROBIN RD & BARRINGTON TRL, 30005
149254	25111	DENMARK HS	3010 BROOKWATER DR	7:23:00 AM	3010 BROOKWATER DR, 30041
149264	25111	DENMARK HS	OLD CHURCH RD & MAJORS FARM CT	7:31:00 AM	OLD CHURCH RD & MAJORS FARM CT, 30041
149269	25111	DENMARK HS	COMMONWEALTH TRL & COMMONWEALTH AVE	7:14:00 AM	COMMONWEALTH TRL & COMMONWEALTH AVE, 30041
150612	25111	DENMARK HS	2420 BROOKWATER DR	7:24:00 AM	2420 BROOKWATER DR, 30005
150723	25111	DENMARK HS	CANEY RD & STONECREST DR	7:21:00 AM	CANEY RD & STONECREST DR, 30041
150827	25111	DENMARK HS	SADDLEBROOK GLEN DR & TATTERSALL CT	7:29:00 AM	SADDLEBROOK GLEN DR & TATTERSALL CT, 30041
151276	25111	DENMARK HS	COMMONWEALTH TRL & COMMONWEALTH RD	7:15:00 AM	COMMONWEALTH TRL & COMMONWEALTH RD, 30041
151449	25111	DENMARK HS	CHRISTOPHER ROBIN RD & BROOKRIDGE TRCE	7:28:00 AM	CHRISTOPHER ROBIN RD & BROOKRIDGE TRCE, 30005
165952	25111	DENMARK HS	PINE GROVE RD & HANSARD RD	7:36:00 AM	PINE GROVE RD & HANSARD RD, 30041
176678	25111	DENMARK HS	1404 PEACHTREE PKWY	7:12:00 AM	1404 PEACHTREE PKWY, 30041
140962	25112	DENMARK HS	FRANCIS RD & CLARK DR	7:28:00 AM	FRANCIS RD & CLARK DR, 30004
143491	25112	DENMARK HS	3690 HAMBY RD	7:36:00 AM	3690 HAMBY RD, 30004
